Concept,Prompt Type,Coefficient,Optimal Layer,Optimal Score
Academic Journal,1,2,0,0.6578414127230644
Academic Journal,2,2,16,0.8397588983178139
Adult Film Actor,1,2,0,0.806075144
Adult Film Actor,2,2,16,0.8994366109371186
Airline,1,2,2,0.8946473345160484
Airline,2,2,5,0.959238914
Airport,1,2,0,0.7639254212379456
Airport,2,2,4,0.9225052207708359
Album,1,2,4,0.7878253549337387
Album,2,2,17,0.948986503
Ambassador,1,2,0,0.8337922811508178
Ambassador,2,2,1,0.9532320380210877
Amphibian,1,2,0,0.7209095567464828
Amphibian,2,2,16,0.8884872555732727
Animanga Character,1,2,2,0.8824424296617508
Animanga Character,2,2,20,0.9077834159135818
Anime,1,2,3,0.9096730679273606
Anime,2,2,13,0.9554254144430161
Architect,1,2,0,0.7755028277635574
Architect,2,2,5,0.9628858178853988
Astronaut,1,2,1,0.919627896
Astronaut,2,2,5,0.9692839026451111
Badminton,1,2,2,0.6232224270701409
Badminton,2,2,4,0.9645987182855607
Band,1,2,0,0.8905483037233353
Band,2,2,13,0.981715739
Bank,1,2,0,0.8779488995671272
Bank,2,2,20,0.977739617
Baseball,1,2,2,0.9249254539608955
Baseball,2,2,3,0.975447702
Basketball,1,2,1,0.9647697865962982
Basketball,2,2,13,0.983393645
Beach Volleyball,1,2,0,0.8872170388698578
Beach Volleyball,2,2,0,0.9329872101545333
Beauty Queen,1,2,1,0.8768716350197792
Beauty Queen,2,2,14,0.8556919634342194
Bird,1,2,1,0.7353575006127357
Bird,2,2,15,0.9832220524549484
Bodybuilding,1,2,1,0.8701425775885582
Bodybuilding,2,2,7,0.9468616843223572
Boxing,1,2,2,0.8485695645213127
Boxing,2,2,1,0.9319416433572769
Broadcast Network,1,2,0,0.803933835
Broadcast Network,2,2,17,0.9474460780620575
Bus Company,1,2,5,0.5933527767658233
Bus Company,2,2,11,0.971557817
Business Person,1,2,3,0.9239645555615426
Business Person,2,2,13,0.9273253589868545
Canal,1,2,0,0.7025056272745133
Canal,2,2,16,0.982090437
Canoeing,1,2,0,0.73251339
Canoeing,2,2,21,0.8269327655434608
Cardinal,1,2,4,0.747569403
Cardinal,2,2,7,0.9658190906047821
Castle,1,2,1,0.7121428430080414
Castle,2,2,22,0.9313688665628433
Chef,1,2,0,0.9200941175222397
Chef,2,2,11,0.9427832633256912
Chess,1,2,0,0.9180583983659745
Chess,2,2,13,0.9675044775009155
Classical Music,1,2,0,0.8946070104837418
Classical Music,2,2,17,0.9654172599315644
Comedian,1,2,1,0.8741145461797715
Comedian,2,2,0,0.9711171358823776
Comic Strip,1,2,2,0.9572428733110427
Comic Strip,2,2,20,0.9574639439582825
Comics Creator,1,2,2,0.9636325776576996
Comics Creator,2,2,14,0.9708193570375443
Congressman,1,2,3,0.8258152842521668
Congressman,2,2,16,0.8430464714765549
Cycling,1,2,5,0.9655406385660171
Cycling,2,2,16,0.9825185745954513
Cycling Race,1,2,0,0.8855935543775558
Cycling Race,2,2,1,0.9476511061191559
Dam,1,2,9,0.7341211169958115
Dam,2,2,11,0.9837084889411927
Earthquake,1,2,0,0.7767465889453888
Earthquake,2,2,4,0.9681236326694489
Economist,1,2,2,0.8320296883583069
